country,surface_area,population,population_density,gdp_gross_domestic_product,gdp_growth_rate,gdp_per_capita,trade_export,trade_import,co2_emission_estimates,energy_production_primary,capacity_mw,capacity_factor,generation,generation_biomass,generation_coal,generation_gas,generation_geothermal,generation_hydro,generation_nuclear,generation_oil,generation_solar,generation_waste,generation_wind,emission_per_capita,economy_agriculture,economy_industry,economy_services_and_other
afghanistan,652864.0,35530000,54.4,20270,-2.4,623.2,1458.0,3568.0,63,1388888.8888888888,300.55,2.993810067405958,880.352,0.0,0.0,0.0,0.0,0.9586960670277344,0.0,0.0,0.041303932972265645,0.0,0.0,1.773149451168027e-06,0,0,1
albania,28748.0,2930000,106.9,11541,2.6,3984.2,1962.0,4669.0,84,10000000.0,1529.0,2.6509373329950954,4636.436,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8668941979522183e-05,0,0,1
algeria,2381741.0,41318000,17.3,164779,3.8,4154.1,29992.0,47091.0,5900,15277777.777777778,15873.8,20.387221267933484,64561.832,0.0,0.0,0.981700302432558,0.0,0.00047988105418074256,0.0,0.0,0.017819816513261273,0.0,0.0,0.0001427949077883731,0,0,1
angola,1246700.0,29784000,23.9,117955,3.0,4714.1,21011.0,8790.0,3902,6944444.444444444,1071.18,4.1179965982183315,3023.892,0.0,0.0,0.0,0.0,0.8710866657936196,0.0,0.1289133342063804,0.0,0.0,0.0,0.0001310099382218641,0,1,0
argentina,2780400.0,44271000,16.2,632343,2.4,14564.5,57733.0,55610.0,3167,23611111.111111112,32913.079,120.49170501979715,140243.078,0.0,0.17951517008204854,0.5208619993351828,0.0,0.1988000291893194,0.044301509126888954,0.03874002252004195,0.008296808773692202,0.0,0.00948446097282605,7.153667186194123e-05,0,0,1
armenia,29743.0,2930000,102.9,10529,3.0,3489.1,1776.0,3230.0,48,12777777.777777778,3271.0,3.4473340873834983,15499.516,0.0,0.0,0.7534351395230665,0.0,0.09100903537891118,0.1555558250980224,0.0,0.0,0.0,0.0,1.6382252559726964e-05,0,0,1
australia,7692060.0,24451000,3.2,1230859,2.4,51352.2,189630.0,189406.0,15282,61666666.666666664,65852.016,150.80186768505263,253373.16895370372,0.0012813025774791645,0.6132375152499902,0.19822786459299116,0.0,0.08307593559229992,0.0,0.004100547018782532,0.034691401499341135,0.00267271342568284,0.06271272004343316,0.0006250051122653471,0,0,1
austria,83871.0,8736000,106.0,376967,1.0,44117.7,145503.0,149299.0,505,43888888.88888889,11227.1,42.43820776788689,35268.2478,0.0,0.0,0.1439286889287045,0.0,0.8493021533096975,0.0,0.0,0.0,0.0,0.00676915776159805,5.780677655677656e-05,0,0,1
azerbaijan,86600.0,9828000,118.9,53049,0.7,5438.7,9143.0,8532.0,2459,16944444.444444444,5764.0,8.690459896534184,22024.768,0.0,0.0,0.8300931932631481,0.0,0.11265762254567223,0.0,0.05724918419117968,0.0,0.0,0.0,0.0002502035002035002,0,1,0
bahrain,771.0,1493000,1963.9,31126,2.9,22600.2,12892.0,14749.0,961,114722222.22222222,7586.3,4.660325455742251,49003.974,0.0,0.0,0.9997944248358307,0.0,0.0,0.0,8.162603302336256e-07,0.00020475890383910497,0.0,0.0,0.0006436704621567314,0,0,1
